date,JKHY,isPartial
2023-08-08 00:00:00,0,False
2023-08-08 01:00:00,0,False
2023-08-08 02:00:00,0,False
2023-08-08 03:00:00,0,False
2023-08-08 04:00:00,35,False
2023-08-08 05:00:00,0,False
2023-08-08 06:00:00,0,False
2023-08-08 07:00:00,0,False
2023-08-08 08:00:00,0,False
2023-08-08 09:00:00,0,False
2023-08-08 10:00:00,0,False
2023-08-08 11:00:00,0,False
2023-08-08 12:00:00,0,False
2023-08-08 13:00:00,0,False
2023-08-08 14:00:00,13,False
2023-08-08 15:00:00,17,False
2023-08-08 16:00:00,34,False
2023-08-08 17:00:00,0,False
2023-08-08 18:00:00,0,False
2023-08-08 19:00:00,0,False
2023-08-08 20:00:00,55,False
2023-08-08 21:00:00,0,False
2023-08-08 22:00:00,0,False
2023-08-08 23:00:00,0,False
2023-08-09 00:00:00,0,False
2023-08-09 01:00:00,0,False
2023-08-09 02:00:00,0,False
2023-08-09 03:00:00,0,False
2023-08-09 04:00:00,0,False
2023-08-09 05:00:00,0,False
2023-08-09 06:00:00,0,False
2023-08-09 07:00:00,0,False
2023-08-09 08:00:00,0,False
2023-08-09 09:00:00,0,False
2023-08-09 10:00:00,0,False
2023-08-09 11:00:00,0,False
2023-08-09 12:00:00,0,False
2023-08-09 13:00:00,0,False
2023-08-09 14:00:00,0,False
2023-08-09 15:00:00,0,False
2023-08-09 16:00:00,0,False
2023-08-09 17:00:00,0,False
2023-08-09 18:00:00,0,False
2023-08-09 19:00:00,0,False
2023-08-09 20:00:00,0,False
2023-08-09 21:00:00,0,False
2023-08-09 22:00:00,0,False
2023-08-09 23:00:00,0,False
2023-08-10 00:00:00,43,False
2023-08-10 01:00:00,0,False
2023-08-10 02:00:00,0,False
2023-08-10 03:00:00,0,False
2023-08-10 04:00:00,0,False
2023-08-10 05:00:00,40,False
2023-08-10 06:00:00,0,False
2023-08-10 07:00:00,100,False
2023-08-10 08:00:00,0,False
2023-08-10 09:00:00,0,False
2023-08-10 10:00:00,15,False
2023-08-10 11:00:00,0,False
2023-08-10 12:00:00,28,False
2023-08-10 13:00:00,15,False
2023-08-10 14:00:00,12,False
2023-08-10 15:00:00,0,False
2023-08-10 16:00:00,0,False
2023-08-10 17:00:00,0,False
2023-08-10 18:00:00,0,False
2023-08-10 19:00:00,0,False
2023-08-10 20:00:00,0,False
2023-08-10 21:00:00,0,False
2023-08-10 22:00:00,0,False
2023-08-10 23:00:00,0,False
2023-08-11 00:00:00,0,False
2023-08-11 01:00:00,0,False
2023-08-11 02:00:00,0,False
2023-08-11 03:00:00,0,False
2023-08-11 04:00:00,0,False
2023-08-11 05:00:00,0,False
2023-08-11 06:00:00,24,False
2023-08-11 07:00:00,0,False
2023-08-11 08:00:00,0,False
2023-08-11 09:00:00,0,False
2023-08-11 10:00:00,0,False
2023-08-11 11:00:00,0,False
2023-08-11 12:00:00,0,False
2023-08-11 13:00:00,0,False
2023-08-11 14:00:00,0,False
2023-08-11 15:00:00,67,False
2023-08-11 16:00:00,0,False
2023-08-11 17:00:00,17,False
2023-08-11 18:00:00,31,False
2023-08-11 19:00:00,29,False
2023-08-11 20:00:00,0,False
2023-08-11 21:00:00,0,False
2023-08-11 22:00:00,0,False
2023-08-11 23:00:00,0,False
2023-08-12 00:00:00,51,False
2023-08-12 01:00:00,0,False
2023-08-12 02:00:00,0,False
2023-08-12 03:00:00,42,False
2023-08-12 04:00:00,0,False
2023-08-12 05:00:00,0,False
2023-08-12 06:00:00,0,False
2023-08-12 07:00:00,0,False
2023-08-12 08:00:00,31,False
2023-08-12 09:00:00,0,False
2023-08-12 10:00:00,0,False
2023-08-12 11:00:00,0,False
2023-08-12 12:00:00,0,False
